,Brand,Movement,Case material,Bracelet material,Gender,Price,Shape,Crystal,Dial,Bracelet color,Clasp,Total Sale,Seller Reviews,Year,Volume
26772,Edox,Automatic,steel,Leather,Men's watch/Unisex,18150.0,Circular,Plexiglass,Blue,Black,Buckle,759.0,483.0,1985-01-01,Medium Sale
26774,Maserati,Quartz,steel,Steel,Men's watch/Unisex,27472.5,Rectangular,Mineral Glass,Black,Gold,"Fold clasp, hidden",14642.0,448.0,2022-01-01,High Sale
26775,Armand Nicolet,Automatic,steel,Leather,Men's watch/Unisex,118882.5,Circular,Sapphire crystal,Black,Black,Jewelry clasp,2436.0,1697.0,2024-01-01,Medium Sale
26777,Raidillon,Automatic,steel,Leather,Men's watch/Unisex,132825.0,Circular,Sapphire crystal,Black,Gold,Buckle,357.0,311.0,2023-01-01,Low Sale
26778,Mb&f,Automatic,Titanium,Leather,Men's watch/Unisex,3213375.0,Rectangular,Sapphire crystal,Blue,Black,Buckle,3087.0,2339.0,2015-01-01,High Sale
26780,Zodiac,Automatic,steel,Steel,Women's watch,18150.0,Circular,Glass,Black,Gold,Buckle,759.0,483.0,1988-01-01,Medium Sale
26781,Blancpain,Automatic,steel,Textile,Men's watch/Unisex,989587.5,Circular,Sapphire crystal,Blue,Blue,Fold clasp,361.0,255.0,2018-01-01,Low Sale
26784,Chronoswiss,Automatic,steel,Animal skin,Men's watch/Unisex,338250.0,Circular,Sapphire crystal,Bronze,Black,Buckle,2439.0,1789.0,2024-01-01,Medium Sale
26786,Sinn,Manual winding,gold,Animal skin,Men's watch/Unisex,1024072.5,Circular,Sapphire crystal,Grey,Black,Buckle,701.0,545.0,2022-01-01,Low Sale
26790,Girard Perregaux,Automatic,gold,Leather,Men's watch/Unisex,1295250.0,Rectangular,Sapphire crystal,White,Black,Double-fold clasp,239.0,188.0,2010-01-01,Low Sale
26793,Marvin,Manual winding,steel,Leather,Men's watch/Unisex,24997.5,Rectangular,Plexiglass,Grey,Silver,Buckle,496.0,411.0,1960-01-01,Low Sale
26801,Rolex,Automatic,steel,gold,Men's watch/Unisex,1194435.0,Circular,Sapphire crystal,Red,Gold,Fold clasp,355.0,260.0,2020-01-01,Low Sale
26809,Orient,Automatic,steel,Steel,Men's watch/Unisex,28132.5,Circular,Sapphire crystal,Blue,Silver,Fold clasp,963.0,444.0,2022-01-01,Medium Sale
26817,Omega,Automatic,steel,Steel,Men's watch/Unisex,371250.0,Circular,Sapphire crystal,White,Steel,Fold clasp,593.0,354.0,2024-01-01,Low Sale
26819,Dewitt,Manual winding,gold,Leather,Men's watch/Unisex,10370250.0,Circular,Sapphire crystal,Blue,Blue,Double-fold clasp,239.0,189.0,2010-01-01,Low Sale
26822,Tutima,Automatic,steel,Leather,Men's watch/Unisex,167062.5,Circular,Sapphire crystal,Black,Black,Buckle,396.0,284.0,2024-01-01,Low Sale
26825,Luminox,Quartz,steel,Steel,Men's watch/Unisex,26730.0,Rectangular,Sapphire crystal,Black,Silver,Fold clasp,2075.0,1307.0,2024-01-01,Medium Sale
26829,Chronographe Suisse Cie,Manual winding,gold,Leather,Men's watch/Unisex,93802.5,Rectangular,Plexiglass,Gold,Black,No clasp,2845.0,1759.0,1950-01-01,Medium Sale
26838,Glycine,Manual winding,Silver,Leather,Women's watch,11632.5,Rectangular,Plexiglass,Champagne,Red,Jewelry clasp,14642.0,448.0,1924-01-01,High Sale
26841,Jacques Lemans,Quartz,steel,Ceramic,Women's watch,26730.0,Circular,Mineral Glass,Black,Black,Double-fold clasp,1614.0,1189.0,2024-01-01,Medium Sale
26843,Blancpain,Automatic,Ceramic,Textile,Men's watch/Unisex,773437.5,Circular,Sapphire crystal,Black,Black,Buckle,1125.0,856.0,2024-01-01,Medium Sale
